	superclass
K13695	Transport
K13713	Carbohydrate metabolism
K13714	Carbohydrate metabolism
K13727	Energy/central carbon
K13730	DNA replication/repair/maintenance
K13731	DNA replication/repair/maintenance
K13735	Motility/adhesion
K13745	Energy/central carbon
K13771	Transcriptional regulation
K13788	SCFA fermentation
K13789	Carbohydrate metabolism
K13810	Energy/central carbon
K13816	Other
K13821	Amino acid metabolism
K13829	Tryptophan metabolism
K13832	Tryptophan metabolism
K13854	Antibiotic resistance/efflux
K13877	Other
K13888	Antibiotic resistance/efflux
K13889	Transport
K13890	Transport
K13891	Transport
K13892	Transport
K13893	Transport
K13894	Transport
K13895	Transport
K13896	Transport
K13918	Energy/central carbon
K13919	Energy/central carbon
K13920	Energy/central carbon
K13921	Energy/central carbon
K13922	Energy/central carbon
K13923	Carbohydrate metabolism
K13926	Translation/ribosome
K13927	Carbohydrate metabolism
K13928	Transcriptional regulation
K13929	Carbohydrate metabolism
K13930	Carbohydrate metabolism
K13931	Energy/central carbon
K13932	Energy/central carbon
K13933	Energy/central carbon
K13934	Carbohydrate metabolism
K13935	Carbohydrate metabolism
K13936	Energy/central carbon
K13938	Translation/ribosome
K13940	Energy/central carbon
K13950	Translation/ribosome
K13953	Energy/central carbon
K13954	Energy/central carbon
K13979	Cofactors/vitamins
K13993	RNA processing/degradation
K14048	Other
K14051	Nucleotide metabolism
K14052	Transport
K14053	Transport
K14054	Amino acid metabolism
K14055	Transcriptional regulation
K14056	Transcriptional regulation
K14057	Transcriptional regulation
K14058	Translation/ribosome
K14059	Mobilome
K14060	Viral processes
K14061	Transcriptional regulation
K14062	Transport
K14063	Transcriptional regulation
K14064	Transcriptional regulation
K14088	Other
K14090	Other
K14153	Carbohydrate metabolism
K14155	Amino acid metabolism
K14159	DNA replication/repair/maintenance
K14160	Other
K14170	Tryptophan metabolism
K14187	Tryptophan metabolism
K14188	Amino acid metabolism
K14189	Other
K14192	Other
K14193	Energy/central carbon
K14194	Amino acid metabolism
K14205	Carbohydrate metabolism
K14257	Antibiotic resistance/efflux
K14260	Amino acid metabolism
K14261	Amino acid metabolism
K14268	Synaptic pathways
K14274	Carbohydrate metabolism
K14287	Amino acid metabolism
K14347	Transport
K14348	Transcriptional regulation
K14392	Transport
K14393	Transport
K14394	Carbohydrate metabolism
K14441	Translation/ribosome
K14445	Transport
K14540	Translation/ribosome
K14588	Other
K14591	Other
K14645	Protein folding/quality control
K14652	Energy/central carbon
K14665	Other
K14681	Carbohydrate metabolism
K14682	Carbohydrate metabolism
K14731	Carbohydrate metabolism
K14742	RNA processing/degradation
K14744	Cell envelope/biogenesis
K14761	Defense systems
K14762	Defense systems
K14977	Other
K14979	Signal transduction
K14980	Signal transduction
K14981	Signal transduction
K14982	Signal transduction
K14983	Signal transduction
K15011	Signal transduction
K15024	Carbohydrate metabolism
K15034	Defense systems
K15051	DNA replication/repair/maintenance
K15125	Other
K15228	Translation/ribosome
K15229	Translation/ribosome
K15256	Translation/ribosome
K15257	Translation/ribosome
K15268	Antibiotic resistance/efflux
K15269	Transport
K15270	Transport
K15314	Secondary metabolism
K15327	Secondary metabolism
K15329	Secondary metabolism
K15342	Defense systems
K15372	Amino acid metabolism
K15460	RNA processing/degradation
K15461	Translation/ribosome
K15515	Other
K15524	Carbohydrate metabolism
K15531	DNA replication/repair/maintenance
K15532	Carbohydrate metabolism
K15533	Carbohydrate metabolism
K15536	Cofactors/vitamins
K15539	Cell envelope/biogenesis
K15540	Protein folding/quality control
K15545	Transcriptional regulation
K15547	Antibiotic resistance/efflux
K15548	Antibiotic resistance/efflux
K15549	Antibiotic resistance/efflux
K15551	Transport
K15552	Transport
K15553	Transport
K15554	Transport
K15555	Transport
K15576	Transport
K15577	Transport
K15578	Antibiotic resistance/efflux
K15580	Transport
K15581	Transport
K15582	Transport
K15583	Transport
K15587	Transport
K15598	Transport
K15599	Transport
K15600	Transport
K15629	Energy/central carbon
K15633	Energy/central carbon
K15634	Energy/central carbon
K15640	Other
K15722	Cell envelope/biogenesis
K15724	Other
K15725	Antibiotic resistance/efflux
K15726	Antibiotic resistance/efflux
K15727	Antibiotic resistance/efflux
K15738	Transport
K15770	Transport
K15771	Transport
K15772	Transport
K15773	Transcriptional regulation
K15777	Synaptic pathways
K15778	Energy/central carbon
K15780	Translation/ribosome
K15827	SCFA fermentation
K15828	SCFA fermentation
K15829	SCFA fermentation
K15830	SCFA fermentation
K15831	SCFA fermentation
K15832	SCFA fermentation
K15833	Transcriptional regulation
K15834	Translation/ribosome
K15836	Transcriptional regulation
K15852	Transcriptional regulation
K15856	Carbohydrate metabolism
K15861	Transcriptional regulation
K15866	Energy/central carbon
K15918	Carbohydrate metabolism
K15921	Other
K15922	Other
K15923	Other
K15924	Carbohydrate metabolism
K15974	Transcriptional regulation
K15975	Other
K15977	Energy/central carbon
K15984	RNA processing/degradation
K15986	Carbohydrate metabolism
K16011	Carbohydrate metabolism
K16012	Transport
K16013	Transport
K16044	Energy/central carbon
K16052	Transport
K16053	Transport
K16066	Energy/central carbon
K16074	Transport
K16076	Transport
K16087	Transport
K16088	Transport
K16089	Transport
K16090	Signal transduction
K16091	Transport
K16092	Transport
K16136	Transcriptional regulation
K16137	Antibiotic resistance/efflux
K16139	Carbohydrate metabolism
K16150	Carbohydrate metabolism
K16164	Carbohydrate metabolism
K16165	Other
K16169	Transport
K16209	Transport
K16210	Transport
K16211	Transport
K16214	Cell envelope/biogenesis
K16235	Transport
K16236	Transport
K16238	Transport
K16263	Antibiotic resistance/efflux
K16264	Antibiotic resistance/efflux
K16291	Other
K16301	Energy/central carbon
K16321	Transport
K16322	Transport
K16323	Transport
K16326	Transcriptional regulation
K16328	Carbohydrate metabolism
K16345	Transport
K16347	Other
K16348	Other
K16370	Carbohydrate metabolism
K16371	Energy/central carbon
K16509	RNA processing/degradation
K16511	Other
K16554	Transport
K16555	Other
K16649	Other
K16651	Amino acid metabolism
K16692	Tryptophan metabolism
K16693	Cell envelope/biogenesis
K16695	Cell envelope/biogenesis
K16701	Carbohydrate metabolism
K16703	Carbohydrate metabolism
K16704	Carbohydrate metabolism
K16710	Carbohydrate metabolism
K16711	Other
K16785	Transport
K16786	Transport
K16787	Transport
K16788	Cofactors/vitamins
K16789	Transport
K16841	Amino acid metabolism
K16842	Other
K16869	Carbohydrate metabolism
K16874	Other
K16898	Energy/central carbon
K16899	Energy/central carbon
K16901	Tryptophan metabolism
K16919	Transport
K16921	Transport
K16922	Transport
K16923	Transport
K16924	Transport
K16925	Transport
K16927	Transport
K16937	Cofactors/vitamins
K16957	Transport
K16958	Transport
K16959	Transport
K16960	Transport
K16961	Transport
K16962	Transport
K16963	Transport
K17073	Transport
K17074	Transport
K17076	Transport
K17103	Carbohydrate metabolism
K17204	Transport
K17205	Transport
K17208	Transport
K17209	Transport
K17210	Transport
K17213	Transport
K17216	Amino acid metabolism
K17217	Energy/central carbon
K17218	Energy/central carbon
K17237	Transport
K17240	Transport
K17242	Transport
K17247	Amino acid metabolism
K17318	Transport
K17319	Transport
K17320	Transport
K17463	Energy/central carbon
K17464	Carbohydrate metabolism
K17624	Carbohydrate metabolism
K17675	DNA replication/repair/maintenance
K17680	Other
K17686	Transport
K17713	Cell envelope/biogenesis
K17722	Cofactors/vitamins
K17723	Cofactors/vitamins
K17733	Cell envelope/biogenesis
K17736	Transcriptional regulation
K17737	Transcriptional regulation
K17758	Cofactors/vitamins
K17759	Cofactors/vitamins
K17810	Amino acid metabolism
K17828	Cofactors/vitamins
K17836	Antibiotic resistance/efflux
K17850	Transcriptional regulation
K17869	Energy/central carbon
K17884	Other
K17938	Transport
K17947	Energy/central carbon
K18009	Energy/central carbon
K18093	Transport
K18104	Transport
K18118	Carbohydrate metabolism
K18138	Antibiotic resistance/efflux
K18139	Antibiotic resistance/efflux
K18140	Transcriptional regulation
K18141	Antibiotic resistance/efflux
K18142	Antibiotic resistance/efflux
K18143	Signal transduction
K18144	Signal transduction
K18146	Antibiotic resistance/efflux
K18149	Cell envelope/biogenesis
K18199	Energy/central carbon
K18217	Antibiotic resistance/efflux
K18231	Transport
K18234	Carbohydrate metabolism
K18244	Cofactors/vitamins
K18248	Tryptophan metabolism
K18298	Antibiotic resistance/efflux
K18299	Antibiotic resistance/efflux
K18301	Transcriptional regulation
K18303	Antibiotic resistance/efflux
K18324	Antibiotic resistance/efflux
K18325	Transcriptional regulation
K18326	Antibiotic resistance/efflux
K18347	Transport
K18445	Carbohydrate metabolism
K18446	Other
K18447	Carbohydrate metabolism
K18456	Carbohydrate metabolism
K18476	Antibiotic resistance/efflux
K18478	Other
K18479	Energy/central carbon
K18531	Transcriptional regulation
K18552	Antibiotic resistance/efflux
K18567	Antibiotic resistance/efflux
K18581	Carbohydrate metabolism
K18587	Cofactors/vitamins
K18588	Cofactors/vitamins
K18590	Antibiotic resistance/efflux
K18640	Cell envelope/biogenesis
K18649	Carbohydrate metabolism
K18650	Carbohydrate metabolism
K18652	Energy/central carbon
K18657	Cell envelope/biogenesis
K18672	Carbohydrate metabolism
K18682	Carbohydrate metabolism
K18691	Cell envelope/biogenesis
K18692	Energy/central carbon
K18702	Carbohydrate metabolism
K18704	Cell envelope/biogenesis
K18754	Other
K18765	RNA processing/degradation
K18770	Cell envelope/biogenesis
K18778	Cell envelope/biogenesis
K18783	Carbohydrate metabolism
K18800	Other
K18815	Carbohydrate metabolism
K18816	Carbohydrate metabolism
K18821	Carbohydrate metabolism
K18829	Defense systems
K18831	Transcriptional regulation
K18837	Defense systems
K18841	RNA processing/degradation
K18842	Defense systems
K18843	Defense systems
K18850	Translation/ribosome
K18887	Antibiotic resistance/efflux
K18888	Antibiotic resistance/efflux
K18889	Antibiotic resistance/efflux
K18890	Antibiotic resistance/efflux
K18891	Antibiotic resistance/efflux
K18892	Antibiotic resistance/efflux
K18900	Transcriptional regulation
K18906	Transcriptional regulation
K18907	Transcriptional regulation
K18908	Antibiotic resistance/efflux
K18909	Transcriptional regulation
K18910	Energy/central carbon
K18916	Transport
K18918	Transcriptional regulation
K18919	Other
K18920	Other
K18921	Other
K18923	Defense systems
K18924	Antibiotic resistance/efflux
K18925	Antibiotic resistance/efflux
K18926	Antibiotic resistance/efflux
K18928	SCFA fermentation
K18929	SCFA fermentation
K18934	Antibiotic resistance/efflux
K18935	Antibiotic resistance/efflux
K18939	Antibiotic resistance/efflux
K18940	Signal transduction
K18967	Carbohydrate metabolism
K18968	Carbohydrate metabolism
K18979	Other
K18980	Other
K18988	Amino acid metabolism
K18997	Protein folding/quality control
K19000	Transcriptional regulation
K19002	Carbohydrate metabolism
K19005	Carbohydrate metabolism
K19046	Defense systems
K19047	Antibiotic resistance/efflux
K19048	Other
K19055	RNA processing/degradation
K19083	Transport
K19084	Transport
K19100	Antibiotic resistance/efflux
K19101	Antibiotic resistance/efflux
K19115	Defense systems
K19117	Defense systems
K19118	Defense systems
K19119	Defense systems
K19123	Defense systems
K19124	Defense systems
K19125	Defense systems
K19126	Defense systems
K19127	Defense systems
K19128	Defense systems
K19129	Defense systems
K19130	Defense systems
K19157	RNA processing/degradation
K19158	Defense systems
K19159	Defense systems
K19162	Protein folding/quality control
K19163	Defense systems
K19164	Defense systems
K19166	RNA processing/degradation
K19167	Other
K19168	Defense systems
K19181	Carbohydrate metabolism
K19190	Energy/central carbon
K19215	Antibiotic resistance/efflux
K19220	Cell envelope/biogenesis
K19221	Carbohydrate metabolism
K19222	Energy/central carbon
K19223	Cell envelope/biogenesis
K19224	Cell envelope/biogenesis
K19225	Protein folding/quality control
K19226	Transport
K19227	Transport
K19228	Transport
K19229	Transport
K19230	Transport
K19234	Other
K19235	Other
K19236	Other
K19265	Energy/central carbon
K19267	Cofactors/vitamins
K19270	Carbohydrate metabolism
K19271	Carbohydrate metabolism
K19285	Cofactors/vitamins
K19286	Cofactors/vitamins
K19294	Carbohydrate metabolism
K19302	Carbohydrate metabolism
K19304	Cell envelope/biogenesis
K19309	Transport
K19333	Transcriptional regulation
K19334	Motility/adhesion
K19336	Energy/central carbon
K19337	Transcriptional regulation
K19338	Transcriptional regulation
K19340	RNA processing/degradation
K19349	Transport
K19350	Transport
K19353	Other
K19354	Other
K19416	Protein folding/quality control
K19422	Carbohydrate metabolism
K19424	Carbohydrate metabolism
K19426	Carbohydrate metabolism
K19428	Carbohydrate metabolism
K19504	Carbohydrate metabolism
K19505	Transcriptional regulation
K19507	Carbohydrate metabolism
K19508	Transport
K19509	Transport
K19510	Carbohydrate metabolism
K19519	Other
K19563	Amino acid metabolism
K19576	Antibiotic resistance/efflux
K19577	Antibiotic resistance/efflux
K19585	Antibiotic resistance/efflux
K19586	Antibiotic resistance/efflux
K19591	Transcriptional regulation
K19610	Signal transduction
K19611	Transcriptional regulation
K19615	Defense systems
K19633	Transport
K19666	Transcriptional regulation
K19688	Motility/adhesion
K19689	Carbohydrate metabolism
K19696	Carbohydrate metabolism
K19707	Transcriptional regulation
K19732	Transcriptional regulation
K19733	Transcriptional regulation
K19734	Transcriptional regulation
K19743	Energy/central carbon
K19745	Cofactors/vitamins
K19775	Transcriptional regulation
K19776	Transcriptional regulation
K19784	Energy/central carbon
K19789	DNA replication/repair/maintenance
K19802	Amino acid metabolism
K19803	Carbohydrate metabolism
K19804	Cell envelope/biogenesis
K19810	Amino acid metabolism
K19813	Energy/central carbon
K19837	Other
K19965	Carbohydrate metabolism
K19971	Transport
K19972	Transport
K19973	Transport
K19975	Transport
K19976	Transport
K20073	Cell envelope/biogenesis
K20074	Carbohydrate metabolism
K20108	Carbohydrate metabolism
K20112	Carbohydrate metabolism
K20113	Carbohydrate metabolism
K20114	Carbohydrate metabolism
K20118	Carbohydrate metabolism
K20249	Carbohydrate metabolism
K20256	Cofactors/vitamins
K20263	Signal transduction
K20265	Synaptic pathways
K20266	Transport
K20276	Other
K20306	Signal transduction
K20319	Antibiotic resistance/efflux
K20320	Antibiotic resistance/efflux
K20344	Transport
K20345	Transport
K20373	Transcriptional regulation
K20374	Transcriptional regulation
K20375	Transcriptional regulation
K20379	Transport
K20391	Transcriptional regulation
K20421	Carbohydrate metabolism
K20444	Energy/central carbon
K20459	Transport
K20480	Transcriptional regulation
K20485	Transport
K20487	Signal transduction
K20488	Signal transduction
K20490	Transport
K20527	Transport
K20528	Transport
K20529	Transport
K20530	Transport
K20531	Transport
K20532	Transport
K20533	Transport
K20534	Carbohydrate metabolism
K20539	Transcriptional regulation
K20541	Carbohydrate metabolism
K20542	Other
K20543	Carbohydrate metabolism
K20707	Amino acid metabolism
K20708	Amino acid metabolism
K20742	Amino acid metabolism
K20765	Other
K20801	Energy/central carbon
K20811	Other
K20861	Cofactors/vitamins
K20862	Carbohydrate metabolism
K20866	Carbohydrate metabolism
K20881	Carbohydrate metabolism
K20885	Carbohydrate metabolism
K20918	Transcriptional regulation
K20945	Tryptophan metabolism
K20956	Carbohydrate metabolism
K20997	Transport
K20999	Transport
K21002	Transport
K21020	Carbohydrate metabolism
K21021	Carbohydrate metabolism
K21023	Carbohydrate metabolism
K21028	Cofactors/vitamins
K21029	Cofactors/vitamins
K21030	Carbohydrate metabolism
K21053	Amino acid metabolism
K21060	Other
K21062	Energy/central carbon
K21064	Carbohydrate metabolism
K21084	Carbohydrate metabolism
K21085	Carbohydrate metabolism
K21086	Nucleotide metabolism
K21087	Motility/adhesion
K21088	Carbohydrate metabolism
K21089	Transcriptional regulation
K21090	Nucleotide metabolism
K21135	Antibiotic resistance/efflux
K21142	Carbohydrate metabolism
K21147	Carbohydrate metabolism
K21275	Carbohydrate metabolism
K21285	Cell envelope/biogenesis
K21298	Carbohydrate metabolism
K21324	SCFA fermentation
K21344	Other
K21355	Carbohydrate metabolism
K21405	Transcriptional regulation
K21416	Energy/central carbon
K21417	Energy/central carbon
K21420	Translation/ribosome
K21430	Carbohydrate metabolism
K21449	Motility/adhesion
K21463	Defense systems
K21465	Cell envelope/biogenesis
K21466	Cell envelope/biogenesis
K21467	Cell envelope/biogenesis
K21470	Other
K21471	Cell envelope/biogenesis
K21478	Carbohydrate metabolism
K21481	Cofactors/vitamins
K21498	Defense systems
K21562	Transcriptional regulation
K21567	Transcriptional regulation
K21575	Carbohydrate metabolism
K21592	Cell envelope/biogenesis
K21600	Transcriptional regulation
K21613	Carbohydrate metabolism
K21619	Energy/central carbon
K21636	SCFA fermentation
K21677	Other
K21678	Carbohydrate metabolism
K21679	Other
K21680	Energy/central carbon
K21686	Transcriptional regulation
K21687	Translation/ribosome
K21688	Translation/ribosome
K21691	Translation/ribosome
K21695	Other
K21698	Transcriptional regulation
K21699	Transcriptional regulation
K21712	Carbohydrate metabolism
K21713	Energy/central carbon
K21739	Nucleotide metabolism
K21745	Transcriptional regulation
K21757	Transcriptional regulation
K21759	Energy/central carbon
K21828	Transcriptional regulation
K21886	Transcriptional regulation
K21900	Transcriptional regulation
K21903	Transcriptional regulation
K21910	Energy/central carbon
K21911	Energy/central carbon
K21929	DNA replication/repair/maintenance
K21972	Transcriptional regulation
K21973	Transcriptional regulation
K21974	Transcriptional regulation
K21975	Transcriptional regulation
K21976	Antibiotic resistance/efflux
K21977	Amino acid metabolism
K21990	Antibiotic resistance/efflux
K21993	Transport
K22003	Energy/central carbon
K22010	Signal transduction
K22015	Cofactors/vitamins
K22024	Carbohydrate metabolism
K22027	Tryptophan metabolism
K22041	Antibiotic resistance/efflux
K22043	Transcriptional regulation
K22044	Transport
K22051	Transport
K22066	Other
K22067	Signal transduction
K22071	Transcriptional regulation
K22073	Other
K22084	Other
K22085	Other
K22086	Other
K22103	Transcriptional regulation
K22105	Antibiotic resistance/efflux
K22106	Transcriptional regulation
K22110	Transport
K22129	Energy/central carbon
K22130	Energy/central carbon
K22132	RNA processing/degradation
K22212	Energy/central carbon
K22213	Energy/central carbon
K22229	Other
K22230	Energy/central carbon
K22252	Carbohydrate metabolism
K22278	Cell envelope/biogenesis
K22293	Transcriptional regulation
K22296	Transcriptional regulation
K22298	Transcriptional regulation
K22299	Transcriptional regulation
K22302	Transcriptional regulation
K22305	Carbohydrate metabolism
K22325	Other
K22330	Tryptophan metabolism
K22373	SCFA fermentation
K22393	Cofactors/vitamins
K22394	Cofactors/vitamins
K22396	Energy/central carbon
K22397	Energy/central carbon
K22409	Amino acid metabolism
K22432	Energy/central carbon
K22441	Carbohydrate metabolism
K22445	Amino acid metabolism
K22457	Carbohydrate metabolism
K22468	Carbohydrate metabolism
K22473	Cofactors/vitamins
K22474	Cofactors/vitamins
K22477	Transport
K22478	Carbohydrate metabolism
K22479	Carbohydrate metabolism
K22489	Transcriptional regulation
K22491	Transcriptional regulation
K00007	Energy/central carbon
K00021	Cofactors/vitamins
K00023	Cofactors/vitamins
K00028	Energy/central carbon
K00035	Energy/central carbon
K00039	Energy/central carbon
K00048	Cofactors/vitamins
K00050	Other
K00064	Energy/central carbon
K00066	Energy/central carbon
K00076	Energy/central carbon
K00078	Energy/central carbon
K00082	Cofactors/vitamins
K00100	Energy/central carbon
K00103	Cofactors/vitamins
K00118	Energy/central carbon
K00126	SCFA fermentation
K00129	Cofactors/vitamins
K00132	Energy/central carbon
K00137	Energy/central carbon
K00141	Cofactors/vitamins
K00151	Energy/central carbon
K00153	Energy/central carbon
K00172	Energy/central carbon
K00174	Energy/central carbon
K00175	Energy/central carbon
K00176	Energy/central carbon
K00177	Energy/central carbon
K00179	Energy/central carbon
K00180	Energy/central carbon
K00194	Energy/central carbon
K00198	Cofactors/vitamins
K00200	Energy/central carbon
K00201	Energy/central carbon
K00202	Energy/central carbon
K00210	Other
K00211	Tryptophan metabolism
K00217	Energy/central carbon
K00219	Cofactors/vitamins
K00221	Energy/central carbon
K00227	Carbohydrate metabolism
K00231	Cofactors/vitamins
K00232	Lipid metabolism
K00252	Energy/central carbon
K00253	Energy/central carbon
K00255	Lipid metabolism
K00256	Other
K00257	Energy/central carbon
K00260	Synaptic pathways
K00261	Cofactors/vitamins
K00263	Energy/central carbon
K00270	Tryptophan metabolism
K00271	Cofactors/vitamins
K00273	Energy/central carbon
K00282	Amino acid metabolism
K00290	Cofactors/vitamins
K00293	Energy/central carbon
K00294	Energy/central carbon
K00302	Cofactors/vitamins
K00303	Cofactors/vitamins
K00306	Cofactors/vitamins
K00313	Energy/central carbon
K00315	Energy/central carbon
K00317	Energy/central carbon
K00318	Energy/central carbon
K00320	Cofactors/vitamins
K00329	Other
K00351	Cofactors/vitamins
K00356	Other
K00360	Cofactors/vitamins
K00365	Cofactors/vitamins
K00367	Cofactors/vitamins
K00368	Cofactors/vitamins
K00376	Amino acid metabolism
K00385	Cofactors/vitamins
K00387	Cofactors/vitamins
K00392	Cofactors/vitamins
K00394	Cofactors/vitamins
K00395	Cofactors/vitamins
K00404	Cofactors/vitamins
K00405	Cofactors/vitamins
K00406	Cofactors/vitamins
K00407	Cofactors/vitamins
K00422	Energy/central carbon
K00441	Cofactors/vitamins
K00446	Energy/central carbon
K00448	Energy/central carbon
K00449	Energy/central carbon
K00450	Energy/central carbon
K00451	Energy/central carbon
K00452	Energy/central carbon
K00453	Tryptophan metabolism
K00455	Energy/central carbon
K00456	Amino acid metabolism
K00457	Energy/central carbon
K00463	Energy/central carbon
K00466	Tryptophan metabolism
K00469	Energy/central carbon
K00471	Energy/central carbon
K00472	Energy/central carbon
K00477	Carbohydrate metabolism
K00479	Amino acid metabolism
K00480	Other
K00481	SCFA fermentation
K00486	Tryptophan metabolism
K00491	Amino acid metabolism
K00493	Cofactors/vitamins
K00496	Cofactors/vitamins
K00499	Cofactors/vitamins
K00500	Tryptophan metabolism
K00505	Tryptophan metabolism
K00507	Carbohydrate metabolism
K00508	Energy/central carbon
K00510	Cofactors/vitamins
K00517	Other
K00518	Energy/central carbon
K00529	Energy/central carbon
K00532	Cofactors/vitamins
K00561	RNA processing/degradation
K00587	RNA processing/degradation
K00594	Cofactors/vitamins
K00603	DNA replication/repair/maintenance
K00612	Amino acid metabolism
K00613	Amino acid metabolism
K00619	Carbohydrate metabolism
K00621	Carbohydrate metabolism
K00624	Carbohydrate metabolism
K00635	Lipid metabolism
K00646	Energy/central carbon
K00663	Carbohydrate metabolism
K00672	Carbohydrate metabolism
K00680	Carbohydrate metabolism
K00683	Amino acid metabolism
K00685	Translation/ribosome
K00686	Other
K00693	Carbohydrate metabolism
K00696	Tryptophan metabolism
K00713	Cell envelope/biogenesis
K00729	Carbohydrate metabolism
K00752	Carbohydrate metabolism
K00785	Carbohydrate metabolism
K00803	Carbohydrate metabolism
K00808	Carbohydrate metabolism
K00809	Carbohydrate metabolism
K00818	Carbohydrate metabolism
K00819	Amino acid metabolism
K00842	Other
K00844	Carbohydrate metabolism
K00856	Carbohydrate metabolism
K00862	Carbohydrate metabolism
K00875	Carbohydrate metabolism
K00879	Carbohydrate metabolism
K00881	Carbohydrate metabolism
K00885	Carbohydrate metabolism
K00886	Nucleotide metabolism
K00895	Energy/central carbon
K00897	Translation/ribosome
K00903	Tryptophan metabolism
K00918	Protein folding/quality control
K00924	Signal transduction
K00960	Transcriptional regulation
K00966	Carbohydrate metabolism
K00972	Cell envelope/biogenesis
K00978	Carbohydrate metabolism
K00983	Carbohydrate metabolism
K00996	Carbohydrate metabolism
K01003	Energy/central carbon
K01004	Carbohydrate metabolism
K01014	Lipid metabolism
K01027	Carbohydrate metabolism
K01028	Energy/central carbon
K01031	Carbohydrate metabolism
K01032	Carbohydrate metabolism
K01034	SCFA fermentation
K01035	SCFA fermentation
K01039	Energy/central carbon
K01040	Energy/central carbon
K01046	Carbohydrate metabolism
K01055	Carbohydrate metabolism
K01060	Energy/central carbon
K01078	Signal transduction
K01083	Carbohydrate metabolism
K01086	Carbohydrate metabolism
K01115	Carbohydrate metabolism
K01117	Nucleotide metabolism
K01130	Carbohydrate metabolism
K01134	Carbohydrate metabolism
K01137	Carbohydrate metabolism
K01138	Carbohydrate metabolism
K01143	Mobilome
K01144	Other
K01160	Carbohydrate metabolism
K01163	Other
K01167	Translation/ribosome
K01174	DNA replication/repair/maintenance
K01184	Carbohydrate metabolism
K01186	Carbohydrate metabolism
K01192	Carbohydrate metabolism
K01205	Carbohydrate metabolism
K01216	Carbohydrate metabolism
K01218	Carbohydrate metabolism
K01219	Carbohydrate metabolism
K01230	Carbohydrate metabolism
K01238	Antibiotic resistance/efflux
K01240	Nucleotide metabolism
K01253	Carbohydrate metabolism
K01263	Other
K01264	Carbohydrate metabolism
K01267	Carbohydrate metabolism
K01277	Protein folding/quality control
K01283	Carbohydrate metabolism
K01301	Carbohydrate metabolism
K01308	Protein folding/quality control
K01312	Carbohydrate metabolism
K01342	Carbohydrate metabolism
K01343	Transcriptional regulation
K01355	Energy/central carbon
K01387	Energy/central carbon
K01389	Energy/central carbon
K01390	Amino acid metabolism
K01392	Energy/central carbon
K01399	Energy/central carbon
K01400	Energy/central carbon
K01401	Energy/central carbon
K01415	Defense systems
K01416	Synaptic pathways
K01432	Carbohydrate metabolism
K01446	Cell envelope/biogenesis
K01449	Cell envelope/biogenesis
K01453	Energy/central carbon
K01455	Energy/central carbon
K01459	Amino acid metabolism
K01469	Protein folding/quality control
K01477	Carbohydrate metabolism
K01482	Carbohydrate metabolism
K01483	Energy/central carbon
K01492	Carbohydrate metabolism
K01499	Carbohydrate metabolism
K01501	Carbohydrate metabolism
K01505	Carbohydrate metabolism
K01545	Cofactors/vitamins
K01555	Synaptic pathways
K01556	Tryptophan metabolism
K01561	Carbohydrate metabolism
K01565	Carbohydrate metabolism
K01567	Cell envelope/biogenesis
K01572	Other
K01573	Energy/central carbon
K01578	Secondary metabolism
K01593	Tryptophan metabolism
K01596	Carbohydrate metabolism
K01601	Translation/ribosome
K01602	Translation/ribosome
K01608	Energy/central carbon
K01615	Energy/central carbon
K01616	Energy/central carbon
K01617	Energy/central carbon
K01640	Carbohydrate metabolism
K01654	Carbohydrate metabolism
K01655	Carbohydrate metabolism
K01666	Energy/central carbon
K01667	Energy/central carbon
K01668	Tryptophan metabolism
K01677	Energy/central carbon
K01678	Energy/central carbon
K01702	Energy/central carbon
K01707	Energy/central carbon
K01709	Energy/central carbon
K01713	Tryptophan metabolism
K01721	Energy/central carbon
K01724	Energy/central carbon
K01725	Energy/central carbon
K01728	Energy/central carbon
K01729	Carbohydrate metabolism
K01730	Energy/central carbon
K01732	Amino acid metabolism
K01746	Amino acid metabolism
K01761	Amino acid metabolism
K01771	Carbohydrate metabolism
K01781	Antibiotic resistance/efflux
K01787	Energy/central carbon
K01795	Energy/central carbon
K01796	Carbohydrate metabolism
K01799	Energy/central carbon
K01800	Energy/central carbon
K01801	Energy/central carbon
K01816	Energy/central carbon
K01820	Energy/central carbon
K01822	Energy/central carbon
K01826	Energy/central carbon
K01841	Carbohydrate metabolism
K01844	Carbohydrate metabolism
K01846	DNA replication/repair/maintenance
